molecules_names,smiles_formats
mol176,COC(=O)C1(C(=O)OC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol261,COC(=O)[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)[C@H](C)N1
mol79,Nc1nccc(-c2cnc([C@H]3CCN[C@](O)(F)C3)s2)n1
mol266,C[C@@H]1N[C@H](C#N)C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@H]1C
mol103,COc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol77,COC1(OC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol214,Nc1nc(-c2cnc(C3CCNCC3)s2)c(N)c([N+](=O)[O-])n1
mol268,CS[C@@H]1C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@@H](C)[C@H](C)N1
mol178,CCOC(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol104,CCOc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol70,CSC1(SC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol213,CCCN(CCC)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol2,CC(C)[C@@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol39,Nc1nccc(-c2cnc(C3=C[C@H](I)NC=C3)s2)n1
mol94,CNc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol226,CC(=O)Oc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol45,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](C(=O)O)C3)s2)n1
mol131,CCCC[C@@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol93,CCCNc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol221,CCCOc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol42,COC(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol136,CC1(C)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol5,Nc1nccc(-c2cnc([C@@H]3CCNC[C@H]3C3CC3)s2)n1
mol138,CCC1(CC)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol195,Nc1nc(-c2cnc([C@H]3CCN[C@@H](S(=O)(=O)c4ccccc4)C3)s2)cc([N+](=O)[O-])n1
mol253,CCOC(=O)[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol282,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](O)N[C@H](C)[C@H]2C2CC2)s1
mol30,CCCCC1(CCCC)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol144,CC(C)(C)[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol192,CCCS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol254,C[C@H]1CN[C@H]([N+](=O)[O-])C[C@H]1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol285,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2nc(N)ncc2O)s1
mol37,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](C(Cl)(Cl)Cl)C3)s2)n1
mol143,CCC(CC)(CC)[C@@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol228,CCCC(=O)Oc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol294,CCC1(CC)CN[C@H](I)C=C1c1ncc(-c2nc(N)nc(N(O)O)c2OC)s1
mol152,CC1(C)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol26,CCC[C@@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol183,Nc1nc(-c2cnc([C@H]3CCN[C@@H]([N+](=O)[O-])C3)s2)cc([N+](=O)[O-])n1
mol245,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2nc(N)nc(C=O)c2S)s1
mol239,CC[C@@H]1[C@@H](C)N[C@@H]([N+](=O)[O-])C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol129,Nc1nc(-c2cnc([C@@H]3CCNC[C@H]3CC3CC3)s2)cc([N+](=O)[O-])n1
mol155,CCC[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol21,Nc1nccc(-c2cnc([C@@H]3CCN[C@H](CC4CC4)C3)s2)n1
mol184,Nc1nc(-c2cnc([C@H]3CCNC([N+](=O)[O-])([N+](=O)[O-])C3)s2)cc([N+](=O)[O-])n1
mol242,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2nc(N)nc(C=O)c2O)s1
mol127,CC(C)[C@@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol53,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](S(=O)(=O)c4ccccc4)C3)s2)n1
mol230,C[C@@H]1[C@@H](C)NCC[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol28,CC(C)C1(C(C)C)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol120,CNC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol54,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](O)C3)s2)n1
mol85,N#C[C@]1(O)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol237,CC[C@@H]1[C@@H](C)N[C@@H](C(F)(F)F)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol169,Nc1nc(-c2cnc(C3=C[C@H](I)NC=C3)s2)cc([N+](=O)[O-])n1
mol202,Nc1nc(-c2cnc([C@H]3CCNC(O)(O)C3)s2)cc([N+](=O)[O-])n1
mol61,Nc1nccc(-c2cnc(C3=CC(I)(I)NC=C3)s2)n1
mol115,CCCC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol205,CCO[C@@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol66,CCCOC(=O)C1(C(=O)OCCC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol112,COS(=O)(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol68,Nc1nccc(-c2cnc([C@H]3CCNC([N+](=O)[O-])([N+](=O)[O-])C3)s2)n1
mol277,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol14,Nc1nccc(-c2cnc([C@@H]3CCNCC3(C3CC3)C3CC3)s2)n1
mol160,CC(C)C1(C(C)C)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol270,CCOc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@@H](S)N[C@@H](C)[C@@H]2C)s1
mol13,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol193,CCCS(=O)(=O)[C@@]1(S(C)(=O)=O)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol255,C[C@H]1CN[C@H](O)C[C@H]1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol284,CCO[C@H]1C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3SCC)s2)[C@H](C2CC2)[C@@H](C)N1
mol142,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol36,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](C(F)(F)F)C3)s2)n1
mol229,C[C@@H]1CNCC[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol139,CCC[C@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol194,Nc1nc(-c2cnc([C@H]3CCN[C@@H](Oc4ccccc4)C3)s2)cc([N+](=O)[O-])n1
mol252,COC(=O)[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol283,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](OC)N[C@H](C)[C@H]2C2CC2)s1
mol145,CC(C)(C)C1(C(C)(C)C)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol31,Nc1nccc(-c2cnc([C@@H]3CCNC(C4CC4)(C4CC4)C3)s2)n1
mol92,CCCN(CCC)c1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol220,CCOc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol137,CC[C@@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol43,CCOC(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol4,CCCC[C@@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol3,Nc1nccc(-c2cnc([C@@H]3CCNC[C@H]3CC3CC3)s2)n1
mol95,CCNc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol227,CCC(=O)Oc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol130,Nc1nc(-c2cnc([C@@H]3CCNCC3(CC3CC3)CC3CC3)s2)cc([N+](=O)[O-])n1
mol44,CCCOC(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol179,CCCOC(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol71,CS(=O)(=O)C1(S(C)(=O)=O)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol105,CCCOc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol212,CCCN(CC)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol76,Nc1nccc(-c2cnc([C@H]3CCNC(O)(O)C3)s2)n1
mol102,Nc1ncc(-c2ccccc2)c(-c2cnc(C3CCNCC3)s2)n1
mol215,CNc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol269,COc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@@H](S)N[C@@H](C)[C@@H]2C)s1
mol78,CCOC1(OCC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol170,Nc1nc(-c2cnc(C3=CCNC(I)(I)C3)s2)cc([N+](=O)[O-])n1
mol267,C[C@@H]1N[C@H](S)C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@H]1C
mol177,CCOC(=O)C1(C(=O)OCC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol260,COC(=O)[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol271,C[C@H]1NCC[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@@H]1C1CC1
mol166,Nc1nc(-c2cnc([C@H]3CCNC(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)C3)s2)cc([N+](=O)[O-])n1
mol12,Nc1nccc(-c2cnc([C@@H]3CCNCC3(CC3CC3)CC3CC3)s2)n1
mol69,Nc1nccc(-c2cnc([C@H]3CCNC(S)(S)C3)s2)n1
mol276,CSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol161,Nc1nc(-c2cnc([C@H]3CCN[C@@H](F)C3)s2)cc([N+](=O)[O-])n1
mol15,CC1(C)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol204,CO[C@@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol113,CC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol67,Nc1nccc(-c2cnc([C@H]3CCNC(C(=O)O)(C(=O)O)C3)s2)n1
mol278,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](F)N[C@H](C)[C@H]2C2CC2)s1
mol168,Nc1nc(-c2cnc([C@H]3CCNC(Br)(Br)C3)s2)cc([N+](=O)[O-])n1
mol203,COC1(OC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol114,CCC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol60,Nc1nccc(-c2cnc([C@H]3CCNC(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)C3)s2)n1
mol29,Nc1nccc(-c2cnc([C@@H]3CCNC(CC4CC4)(CC4CC4)C3)s2)n1
mol55,CO[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol121,CCNC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol236,CC[C@H]1C(c2ncc(-c3cc(C=O)nc(N)n3)s2)=C[C@H](I)N[C@@H]1C
mol52,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](Oc4ccccc4)C3)s2)n1
mol126,CC(C)(C)C1(C(C)(C)C)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol83,Nc1nccc(-c2cnc(C3=C[C@@](O)(I)NC=C3)s2)n1
mol231,CC[C@@H]1[C@@H](C)NCC[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol128,CC(C)C1(C(C)C)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol20,CC(C)[C@@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol154,CCC1(CC)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol185,Nc1nc(-c2cnc([C@H]3CCN[C@@H](S)C3)s2)cc([N+](=O)[O-])n1
mol243,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2nc(N)nc(C=O)c2OC)s1
mol295,CCC1(CC)CN[C@H](S)C[C@H]1c1ncc(-c2nc(N)nc([N+](=O)[O-])c2OC)s1
mol27,CC(C)(C)C1(C(C)(C)C)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol153,CC[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol182,Nc1nc(-c2cnc([C@H]3CCNC(C(=O)O)(C(=O)O)C3)s2)cc([N+](=O)[O-])n1
mol244,CCOc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](C(=O)OC)N[C@H](C)[C@H]2CC)s1
mol238,CC[C@@H]1[C@@H](C)N[C@@H](C(Cl)(Cl)Cl)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol209,CN(C)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol275,C[C@H]1NCC[C@@H](c2ncc(-c3nc(N)nc(C=O)c3S)s2)[C@@H]1C1CC1
mol16,CCC1(CC)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol162,Nc1nc(-c2cnc([C@H]3CCNC(F)(F)C3)s2)cc([N+](=O)[O-])n1
